,Tweet ID,Conversation ID,Depth,Username,Tweet,Date,personal_attack
1401,1402,1256341611740610562,1,learning2fly6,"Dems continue efforts to slip Universal Basic Income into stimulus bills. Automatic BOOST to Communities (ABC) Act proposal, introduced by Reps Tlaib &amp; Jayapal would provide a $2,000 Stimulus Payment &amp; $1,000 recurring payment to citizens &amp; non-citizens.   https://t.co/ekt7ICe8kf",2020-05-01 17:55:56,0
1402,1403,1256341611740610562,2,RedHoss44,@learning2fly6 This would be the last straw for me.,2020-05-01 18:08:43,0
1403,1404,1256341611740610562,3,learning2fly6,@RedHoss44 Agree Red!,2020-05-01 19:10:18,0
1404,1405,1258165160964952067,1,newscientist,Universal basic income seems to improve employment and wellbeing  https://t.co/iv4Lu7QlYc  https://t.co/UREIYovpMy,2020-05-06 18:42:04,0
1405,1406,1258165160964952067,2,Umbrellaman699,"@newscientist It is interesting that a human behaves better and does better life decisions if you treat him like a human, instead of an lazy slave that gets should get punished if he doesn't obey the system",2020-05-06 18:54:05,0
1406,1407,1258165160964952067,3,OCpatriot123,@Umbrellaman699 @newscientist The irony of your conclusion would be funny if it wasn't so tragic.,2020-05-07 21:05:19,0
1407,1408,1259930965255864327,1,DanielA84612544,"@LandSharkUK That's not enough to live on which I thought was the point of a universal basic income. I just did some rough calculations and let's say £15,000 a year for 40 million adults that's £600,000,000,000 a year. And 15k a year is still not realistically a minimum requierd to live.",2020-05-11 16:02:24,0
1408,1409,1259930965255864327,2,LandSharkUK,@DanielA84612544 It's not supposed to be enough to live on. It's main purpose is to stimulate the economy.,2020-05-11 16:10:22,0
1409,1410,1259930965255864327,3,DanielA84612544,@LandSharkUK I was under the impression the main thrust of universal income was to free people from the requirement to work to live and instead allow people pursuit what they wanted. A basic level of income that if you wanted more you could earn more to have a better standard of living.,2020-05-11 16:15:15,0
1410,1411,1259930965255864327,4,DanielA84612544,@LandSharkUK Admittedly I'm sure there are many factions in that's ideology so maybe that's just the one I have heard.,2020-05-11 16:15:42,0
1411,1412,1261788071466598400,1,SocialistVoice,"Labour leader Sir Keir Starmer - icon of Blairites - owns land worth £10million   Meanwhile, he rejects Universal Basic Income, has thrown private renters under a bus and continues to assault working class people by appeasing the Tories   #Starmergeddon 🥀  https://t.co/9JRAavs5gq",2020-05-16 18:38:13,0
