id,created_at,text
1359951579332435973,2021-02-11 19:44:57,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/EfLRi9mkTu',7,0
1359880007678648325,2021-02-11 15:00:33,"b'Look rested &amp; radiant with our maracuja C-brighter vegan eye treatment that smooths, hydrates &amp; brightens!\xf0\x9f\x8c\xb8\n\xe2\x9c\xa8 insta\xe2\x80\xa6 https://t.co/sZJVpWSqTs'",23,3
1359683610412998658,2021-02-11 02:00:09,b'Me regretting that 1 embarrassing thing I said 6 months ago https://t.co/fGi0GguIvd',322,51
1359623278718054421,2021-02-10 22:00:24,b'\xf0\x9f\x92\x9c a good pencil &amp; gel liner? Get both with our BESTSELLING double take vegan eyeliner! This longwear 2-in-1 liquid\xe2\x80\xa6 https://t.co/Zlk1kEG73A',32,3
1359517514934452233,2021-02-10 15:00:08,b'Me to my co-workers https://t.co/1hh0VRZL9r',124,39
1359321207041101835,2021-02-10 02:00:05,b'Me going to bed at 9PM https://t.co/HJR17Z4PCm',669,147
1359260916265717762,2021-02-09 22:00:30,"b""Reminder that you're doing amazing \xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8 https://t.co/ZJothbAhKk""",303,95
1359169948606726146,2021-02-09 15:59:02,"b'The MOST romantic eyeshadow palette \xf0\x9f\x92\x95 Our SUPERSIZE tartelette juicy eyeshadow palette is a mix of neutral, pink &amp;\xe2\x80\xa6 https://t.co/FmgS5wUujb'",91,7
1358904738063020033,2021-02-08 22:25:11,b'RT @mrjaxtaylor: \xf0\x9f\x90\xb6\xf0\x9f\x92\x9c https://t.co/Xxp0Rtf4U8',0,25
1358821681733730307,2021-02-08 16:55:09,b'@GAmorosano LOVE this!\xf0\x9f\x92\x9c',1,0
1358598789179834369,2021-02-08 02:09:27,b'@dazzling_demi Same \xf0\x9f\x98\x82\xf0\x9f\x92\x95',0,0
1358598711572635650,2021-02-08 02:09:09,b'@annekejill Yay!! We \xf0\x9f\x92\x9c it too!',0,0
1358486774557913093,2021-02-07 18:44:21,b'@BC2574 \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c',1,0
1358445049793642499,2021-02-07 15:58:33,b'@emerson7_m \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c',1,0
1358444741109678086,2021-02-07 15:57:19,b'@sasha_fi3rc3 Oh no!! Email us at social@tarte.com and we can help \xf0\x9f\x92\x9c',0,0
1358230399328149505,2021-02-07 01:45:36,b'@myhorrorqueen Yay!! So excited for you!\xf0\x9f\x92\x9c',1,0
1358230327580311556,2021-02-07 01:45:19,b'@RoxyReviews @whoisNee thank you! \xf0\x9f\x92\x9c',2,0
1358068963415056390,2021-02-06 15:04:07,b'@Twinkles89 Hi! Please reach out to social@tarte.com \xf0\x9f\x92\x9c',1,0
1357832160703619078,2021-02-05 23:23:09,b'@AFadedSunset Yummm! \xf0\x9f\x92\x9c',0,1
1357811355412287498,2021-02-05 22:00:28,"b""What snack are you makin' for the #SuperBowl? \xf0\x9f\x8f\x88""",29,3
1357745221270966278,2021-02-05 17:37:41,b'@KatieLee1022 Yay! Soo happy you \xf0\x9f\x92\x9c!',1,0
1357744991016263686,2021-02-05 17:36:46,b'@Msstefanii \xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,0
1357705686952648705,2021-02-05 15:00:35,b'Me when someone asks me to repeat myself again https://t.co/yrsVcMElCa',184,38
1357536439651737612,2021-02-05 03:48:03,b'@pau_vzg \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,0
1357536338543865856,2021-02-05 03:47:39,b'@Trip2marz Oh noo! \xf0\x9f\xa5\xba Email your order # to social@tarte.com and our team can help!',1,0
1357509402341888002,2021-02-05 02:00:37,"b'Knock your pores to the floor w/ our knockout daily vegan exfoliating cleanser! \xf0\x9f\x92\xa7\n\xe2\x9c\xa8 sulfate-free w/ lactic, glycoli\xe2\x80\xa6 https://t.co/KsXcy1MMrR'",34,4
1357473474818826241,2021-02-04 23:37:51,b'@trista_jesse Relatable! \xf0\x9f\x98\x82',0,0
